epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
60,28205.2,1.2286,0.7055,1.21008,0.97989,0.97195,0.98559,0.69618,1.07267,0.4757,1.05879,0.004159,0.004159,0.004159
61,28669.4,1.22123,0.69386,1.20884,0.97987,0.97127,0.98563,0.69483,1.07223,0.4751,1.05884,0.00406,0.00406,0.00406
62,29128.9,1.21985,0.69288,1.20912,0.97988,0.97159,0.98554,0.69657,1.07244,0.47513,1.05808,0.003961,0.003961,0.003961
63,29591.1,1.21574,0.68776,1.20427,0.97988,0.97172,0.98575,0.69732,1.0718,0.47498,1.05732,0.003862,0.003862,0.003862
64,30065.6,1.20803,0.68605,1.20567,0.97988,0.9714,0.98579,0.69775,1.07088,0.473,1.05664,0.003763,0.003763,0.003763
65,30528.5,1.2091,0.67733,1.20712,0.97988,0.97158,0.98579,0.69968,1.06877,0.47337,1.05657,0.003664,0.003664,0.003664
66,30999.1,1.20744,0.67953,1.19544,0.97988,0.97158,0.98576,0.69951,1.06879,0.47142,1.05663,0.003565,0.003565,0.003565
67,31463.3,1.20253,0.67208,1.19781,0.97991,0.97316,0.98539,0.70039,1.06674,0.47245,1.05608,0.003466,0.003466,0.003466
68,31926.8,1.19744,0.6735,1.19939,0.98128,0.97257,0.98532,0.70142,1.0653,0.47131,1.05491,0.003367,0.003367,0.003367
69,32388.6,1.19085,0.66252,1.18968,0.98239,0.97383,0.98538,0.70001,1.06453,0.47075,1.05396,0.003268,0.003268,0.003268
70,32853.8,1.18968,0.66334,1.18659,0.98238,0.9734,0.98541,0.70009,1.06335,0.47023,1.05299,0.003169,0.003169,0.003169
71,33319.6,1.18398,0.65868,1.18494,0.98239,0.97388,0.98548,0.70192,1.06146,0.4699,1.05142,0.00307,0.00307,0.00307
72,33792.3,1.18214,0.66179,1.18813,0.98241,0.97493,0.98552,0.70258,1.05892,0.46962,1.0495,0.002971,0.002971,0.002971
73,34256.2,1.18005,0.6502,1.18271,0.9819,0.97506,0.98549,0.70412,1.05656,0.46862,1.04778,0.002872,0.002872,0.002872
74,34717.1,1.17219,0.6558,1.1785,0.98183,0.97506,0.98533,0.70338,1.05422,0.46701,1.0465,0.002773,0.002773,0.002773
75,35186.1,1.17175,0.64688,1.1779,0.98116,0.97506,0.98519,0.70374,1.05241,0.46686,1.0455,0.002674,0.002674,0.002674
76,35650.6,1.16686,0.6385,1.17595,0.98056,0.97506,0.98515,0.70611,1.05137,0.4641,1.04422,0.002575,0.002575,0.002575
77,36115.7,1.16798,0.63938,1.17663,0.98006,0.97506,0.98504,0.70598,1.04957,0.46336,1.04296,0.002476,0.002476,0.002476
78,36579,1.15366,0.62923,1.16575,0.97995,0.97506,0.98523,0.70678,1.0474,0.46138,1.04155,0.002377,0.002377,0.002377
79,37044.4,1.15089,0.62952,1.1687,0.98039,0.97506,0.98529,0.70695,1.0467,0.46012,1.04015,0.002278,0.002278,0.002278
80,469.921,1.15994,0.63272,1.18035,0.98022,0.97506,0.98529,0.70637,1.04601,0.45889,1.04006,0.002179,0.002179,0.002179
81,938.043,1.16315,0.6384,1.18083,0.98245,0.97697,0.98538,0.70704,1.0444,0.45906,1.03929,0.00208,0.00208,0.00208
82,1411.74,1.16245,0.631,1.18252,0.98245,0.97694,0.98541,0.70806,1.04436,0.45768,1.03868,0.001981,0.001981,0.001981
83,1875.56,1.15883,0.6356,1.17614,0.98244,0.97692,0.98536,0.70833,1.04337,0.45726,1.03783,0.001882,0.001882,0.001882
84,2343.49,1.15266,0.62965,1.17158,0.98244,0.97663,0.98533,0.70823,1.04189,0.45659,1.03718,0.001783,0.001783,0.001783
85,2804.55,1.15388,0.62629,1.16944,0.98244,0.97656,0.98547,0.71023,1.04046,0.45645,1.03664,0.001684,0.001684,0.001684
86,3270.93,1.1442,0.62088,1.16525,0.98244,0.97651,0.98547,0.71079,1.03922,0.45609,1.0359,0.001585,0.001585,0.001585
87,3740.63,1.13536,0.61452,1.16346,0.98244,0.97645,0.9856,0.71114,1.03803,0.45528,1.035,0.001486,0.001486,0.001486
88,4210.34,1.13895,0.61239,1.16258,0.98244,0.97643,0.98598,0.71172,1.03699,0.4541,1.0344,0.001387,0.001387,0.001387
89,4677.87,1.13405,0.60349,1.15852,0.98116,0.97506,0.98603,0.71169,1.03572,0.45241,1.03337,0.001288,0.001288,0.001288
90,5148.22,1.12478,0.60287,1.15328,0.98243,0.97623,0.98628,0.71369,1.03483,0.4524,1.03225,0.001189,0.001189,0.001189
91,5643.39,1.14811,0.51265,1.12518,0.98243,0.97606,0.98657,0.71378,1.03379,0.45155,1.03114,0.00109,0.00109,0.00109
92,6110.16,1.13294,0.49694,1.11799,0.98243,0.97585,0.98689,0.71649,1.03156,0.45138,1.03,0.000991,0.000991,0.000991
93,6573.39,1.12189,0.49059,1.11255,0.98274,0.97506,0.98706,0.71461,1.02978,0.44996,1.02877,0.000892,0.000892,0.000892
94,7041.43,1.11833,0.48892,1.11151,0.98387,0.97506,0.98717,0.7153,1.02892,0.44865,1.02775,0.000793,0.000793,0.000793
95,7506.21,1.11142,0.48144,1.10743,0.9849,0.97618,0.98733,0.71568,1.02676,0.44823,1.02643,0.000694,0.000694,0.000694
96,7973.02,1.09842,0.47796,1.0957,0.9874,0.97675,0.98739,0.71625,1.02415,0.44766,1.0248,0.000595,0.000595,0.000595
97,8437.01,1.09855,0.47285,1.09766,0.9874,0.97693,0.98749,0.71618,1.02224,0.4465,1.02388,0.000496,0.000496,0.000496
98,8897.21,1.0922,0.47166,1.09449,0.9874,0.97708,0.98766,0.71645,1.02102,0.44568,1.02309,0.000397,0.000397,0.000397
99,9366.97,1.08359,0.46624,1.09052,0.9874,0.97686,0.98774,0.71713,1.01772,0.44392,1.02182,0.000298,0.000298,0.000298
100,9831.49,1.08082,0.46457,1.08796,0.9874,0.97698,0.98785,0.71914,1.0168,0.44241,1.02092,0.000199,0.000199,0.000199
